seg_key,system,stress_slice,flag_type,suggested_taxonomy,mqm,category,severity,bleu,chrf,comet,source,mt,reference
mastodon_EscapeFlightsSEA.110348403779800992:en-de::21,ONLINE-M,False,high_comet_bad_mqm,entity substitution/omission,10.0,Accuracy/Mistranslation,Major,44.43388645275938,75.99691866409269,0.8810063600540161,"- We send out notifications when airfare goes on sale. - We provide links to where you can book the fare. - We don't sell tickets, or charge a subscription. - More details are in the full blog post. - We maintain a list of example booking dates for each deal we post and we update that list several times a day.","- Wir versenden Benachrichtigungen, wenn der Flugpreis verkauft wird. - Wir stellen Links zur Verfügung, wo Sie den Flugpreis buchen können. - Wir verkaufen keine Flugtickets und erheben keine Abonnements. - Weitere Einzelheiten finden Sie im vollständigen Blog-Beitrag. - Wir führen eine Liste mit Beispielbuchungsterminen für jedes Angebot, das wir veröffentlichen, und aktualisieren diese Liste mehrmals täglich.","- Wir senden Benachrichtigungen, wenn Flugtickets verkauft werden. - Wir stellen Links zur Verfügung, wo Sie den Preis buchen können. - Wir verkaufen keine Tickets und berechnen auch kein Abonnement. - Weitere Informationen finden Sie in dem vollständigen Blogbeitrag. - Wir pflegen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und wir aktualisieren diese Liste mehrere Male am Tag."
mastodon_EscapeFlightsSEA.110348403779800992:en-de::21,ONLINE-G,False,high_comet_bad_mqm,entity substitution/omission,10.0,Accuracy/Mistranslation,Major,45.77801790964288,73.31774187457677,0.8801484107971191,"- We send out notifications when airfare goes on sale. - We provide links to where you can book the fare. - We don't sell tickets, or charge a subscription. - More details are in the full blog post. - We maintain a list of example booking dates for each deal we post and we update that list several times a day.","- Wir versenden Benachrichtigungen, wenn der Flugpreis in den Verkauf geht. - Wir bieten Links, wo Sie den Tarif buchen können. - Wir verkaufen keine Tickets oder berechnen ein Abonnement. - Weitere Details finden Sie im vollständigen Blogbeitrag. - Wir führen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und aktualisieren diese Liste mehrmals täglich.","- Wir senden Benachrichtigungen, wenn Flugtickets verkauft werden. - Wir stellen Links zur Verfügung, wo Sie den Preis buchen können. - Wir verkaufen keine Tickets und berechnen auch kein Abonnement. - Weitere Informationen finden Sie in dem vollständigen Blogbeitrag. - Wir pflegen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und wir aktualisieren diese Liste mehrere Male am Tag."
mastodon_Gwendolyn.110349819552196992:en-de::27,ONLINE-Y,False,high_bleu_bad_mqm,paraphrase handling issues,24.0,Terminology/Inappropriate for context,Major,47.846164889390515,74.03219769276014,0.8464123010635376,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.","Je mehr ich über Studien zu Sex, Gender und Psychologie lese, desto mehr erscheint die Aussage „Mein Geschlecht ist männlich, mein Geschlecht ist weiblich“ simpel und ungenau. Es scheint fast so, als würde man einen Teil eines Arguments an TERFs abtreten. Ich denke, dass Trans zu sein bedeutet, „biologisch nicht binär“ zu sein. Mein Geschlecht ist nicht binär, mein Geschlecht ist weiblich.","Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich."
mastodon_andthisismrspeacock.110348171878131008:en-de::78,ONLINE-B,True,high_bleu_bad_mqm,entity substitution/omission,22.0,Accuracy/Mistranslation,Major,48.52187933752338,70.54473985346067,0.7619749307632446,"#Venting into the Fediverse time. The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub. When we went to check out, the cashier is a fairly obvious #trans woman. Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"". Her body immediately stiffened and there was this look of fear in her eyes.","#Eintauchen in die Fediverse-Zeit. Der Lebenspartner und ich gingen heute Abend zum Spirituosenladen, um ein paar Biere und eine Flasche Sekt zu trinken. Als wir zur Kasse gingen, war die Kassiererin ziemlich offensichtlich eine #Transfrau. Ich, in Boardshorts und einem Frauenschläger, und The Domestic Partner, alle tätowiert und mit einem neuen Haarschnitt, den er selbst als „damit ich wie ein Neonazi aussehe“ beschrieb. Ihr Körper versteifte sich sofort und in ihren Augen lag ein Ausdruck der Angst.","#Venting in der Fediversum-Zeit. Der Lebenspartner und ich waren heute Abend im Spirituosengeschäft, um ein paar Biere und eine Flasche Champagner zu kaufen. Als wir zur Kasse gingen, war die Kassiererin ganz offensichtlich eine #trans-Frau. Ich, in Boardshorts und einem Achselshirt, und der Lebenspartner, komplett tätowiert und mit einem neuen Haarschnitt, den er selbst als „ich sehe aus wie ein Neonazi“ beschreibt. Ihr Körper verkrampfte sich sofort und in ihren Augen war Angst zu sehen."
mastodon_Gwendolyn.110349819552196992:en-de::27,ONLINE-W,False,high_bleu_bad_mqm,paraphrase handling issues,21.40000000000001,Terminology/Inappropriate for context,Major,50.323289529983875,78.3473006059501,0.8542418479919434,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.","Je mehr ich über Studien zu Sex, Gender und Psychologie lese, desto mehr scheint die Aussage ""Mein Geschlecht ist männlich, mein Geschlecht ist weiblich"" vereinfacht und ungenau zu sein. Es scheint fast so, als würde man einen Teil eines Arguments an TERFs abtreten. Ich denke, dass trans sein bedeutet, ""biologisch nicht-binär"" zu sein. Mein Geschlecht ist nicht-binär, mein Geschlecht ist weiblich.","Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich."
mastodon_Hakarl.110349799963816000:en-de::31,ONLINE-G,True,high_bleu_bad_mqm,entity substitution/omission,21.0,Accuracy/Mistranslation,Major,48.21877015750707,63.20811703069303,0.8039445877075195,Also FWIW I like the archive.org interface a lot more than the desktop #bandcamp \- I've no idea how people use bc as their primary music platform (besides the political reasons).,"Auch FWIW gefällt mir das archive.org interface viel mehr als der Desktop #bandcamp \ - Ich habe keine Ahnung, wie die Leute bc als ihre primäre Musikplattform nutzen (abgesehen von den politischen Gründen).","Wenn du mich fragst, mir gefällt die archive.org-Benutzeroberfläche viel besser als der Desktop von #bandcamp \- Ich weiß nicht, wie Menschen bc als ihre primäre Musikplattform nutzen (abgesehen von den politischen Gründen)."
mastodon_EscapeFlightsSEA.110348403779800992:en-de::21,AIRC,False,high_bleu_bad_mqm,entity substitution/omission,20.0,Accuracy/Mistranslation,Major,51.44700326311053,74.19599363807818,0.8286105394363403,"- We send out notifications when airfare goes on sale. - We provide links to where you can book the fare. - We don't sell tickets, or charge a subscription. - More details are in the full blog post. - We maintain a list of example booking dates for each deal we post and we update that list several times a day.","- Wir senden Benachrichtigungen, wenn der Flugpreis geht. - Wir stellen Links zur Verfügung, auf denen Sie den Tarif buchen können. - Wir verkaufen keine Tickets oder berechnen ein Abonnement. - Weitere Details finden Sie im vollständigen Blog-Post. - Wir pflegen eine Liste mit Beispielbuchungsdaten für jeden Deal, den wir veröffentlichen, und wir aktualisieren diese Liste mehrmals täglich.","- Wir senden Benachrichtigungen, wenn Flugtickets verkauft werden. - Wir stellen Links zur Verfügung, wo Sie den Preis buchen können. - Wir verkaufen keine Tickets und berechnen auch kein Abonnement. - Weitere Informationen finden Sie in dem vollständigen Blogbeitrag. - Wir pflegen eine Liste mit Beispielbuchungsdaten für jedes Angebot, das wir veröffentlichen, und wir aktualisieren diese Liste mehrere Male am Tag."
mastodon_RogerBW.110350523854584992:en-de::60,ONLINE-M,True,high_bleu_bad_mqm,entity substitution/omission,17.0,Accuracy/Mistranslation,Major,50.39781158305022,74.45125663516848,0.8125886917114258,"The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them. The ground beneath your feet begins to tremble and then shake, as if in an earthquake and you lose your footing, though the Repnids seem unaffected. The rock beneath you gives way suddenly. Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below. The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs. Nobody will ever know that you were the first human future traveller.","Die achtäugigen Repniden scheinen zu beobachten, wie du den Flyer auf dem roten Boden niederlegst, aber sie bewegen sich nicht auf dich zu, tatsächlich sind sie bewegungslos, während du aus dem Flyer kletterst und langsam auf sie zugehst. Der Boden unter deinen Füßen beginnt zu zittern und dann zu beben, wie bei einem Erdbeben, und du verlierst den Halt, obwohl die Repniden unbeeinflusst zu sein scheinen. Der Fels unter dir gibt plötzlich nach. Repniden haben sich unter die Oberfläche getrieben und du fällst in eine kochende Masse von Hunderten von Repniden-Körpern in einer Höhle darunter. Das Ende ist schnell, denn mehrere Reißzähne injizieren ihr tödliches Gift und die Luft von Dyskra verseucht Ihre Lungen. Niemand wird je erfahren, dass Sie der erste menschliche zukünftige Reisende waren.","Die achtäugigen Repnids scheinen zuzusehen, während du den Flieger auf dem roten Boden abstellst, aber sie bewegen sich nicht auf dich zu, sie sind sogar regungslos, während du aus dem Flieger kletterst und langsam auf sie zugehst. Der Boden unter deinen Füßen beginnt zu beben und rüttelt dann wie bei einem Erdbeben, und du verlierst den Halt, doch die Repnids scheint das nicht zu stören. Plötzlich gibt der Fels unter dir nach. Die Repnids haben einen Tunnel unter der Oberfläche gegraben und du fällst in eine kochende Masse von Hunderten von Repnid-Körpern in einer Höhle darunter. Es geht schnell zu Ende, denn mehrere Paar Fangzähne injizieren ihr tödliches Gift und die Luft von Dyskra verseucht deine Lungen. Niemand wird je erfahren, dass du der erste menschliche Besucher der Zukunft warst."
mastodon_JKBarts.110350501937576000:en-de::35,NLLB_MBR_BLEU,False,high_bleu_bad_mqm,entity substitution/omission,16.1,Accuracy/Mistranslation,Major,51.51585203340851,73.49673401275467,0.8052729368209839,"So like from the beginning for all my birthdays in the past, I always had rough ones. Whenever May would pop up I dreaded trying to celebrate my bday. Something would always happen, go wrong, or just end up stressful and depressing. I fought over the years to get out of that mindset and to have better bdays. It took years of changing my life and working hard but finally... I'm starting to smile and enjoy my bday with no worries. And today is already becoming a great day!","Also hatte ich von Anfang an, wie bei allen meinen Geburtstagen in der Vergangenheit, immer harte. Immer wenn Mai auftauchte, hatte ich Angst, meinen Geburtstag zu feiern. Etwas würde immer passieren, schief gehen, oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und bessere Geburtstage zu haben. Es hat Jahre gedauert, mein Leben zu ändern und hart zu arbeiten, aber schließlich... ich fange an zu lächeln und meinen Geburtstag ohne Sorgen zu genießen. Und heute wird bereits ein großartiger Tag!","Also, wie bei allen meinen Geburtstagen in der Vergangenheit, war es immer schwierig für mich. Immer, wenn es Mai wurde, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Etwas sollte immer passieren, schiefgehen oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und schönere Geburtstage zu feiern. Ich musste jahrelang mein Leben ändern und hart arbeiten, aber schließlich … fange ich an zu lächeln und meinen Geburtstag ohne Sorgen zu genießen. Und heute ist schon jetzt ein toller Tag!"
mastodon_Meliray.110349815199776992:en-de::50,ONLINE-Y,False,high_bleu_bad_mqm,entity substitution/omission,12.0,Accuracy/Source language fragment,Minor,60.05397698227243,83.51077206729471,0.8272085189819336,"To success, the realization of dreams, friendship, to the simple but true!! To all the investors out there, I raise a toast to your success and the realization of your dreams. Let us continue to work together towards creating a brighter future for all. And to all my friends, new and old, let us cherish the simple but true things in life that bring us joy and fulfillment. #Robecofirm#geologist #entrepreneurship #sustainability #success #friendship #toast #dreams","Zum Erfolg, zur Verwirklichung von Träumen, zur Freundschaft, zum Einfachen aber Wahren!! An alle Investoren da draußen stoße ich auf Ihren Erfolg und die Verwirklichung Ihrer Träume an. Lassen Sie uns weiterhin zusammenarbeiten, um eine bessere Zukunft für alle zu schaffen. Und all meinen Freunden, neuen und alten, lasst uns die einfachen, aber wahren Dinge im Leben schätzen, die uns Freude und Erfüllung bringen. #Robecofirm #geologist #entrepreneurship #sustainability #success #friendship #toast #dreams","Auf den Erfolg, die Verwirklichung von Träumen, die Freundschaft, auf das Einfache aber Wahre!! An alle Investoren da draußen, ich stoße auf Ihren Erfolg und die Verwirklichung Ihrer Träume an. Lassen Sie uns weiterhin zusammen an einer besseren Zukunft für alle arbeiten. Und an all meine neuen und alten Freunde, lasst uns die einfachen, aber wahren Dinge im Leben schätzen, die uns Freude bringen und uns erfüllen. #Robecofirm#geologist #entrepreneurship #sustainability #success #friendship #toast #dreams"
mastodon_JKBarts.110350501937576000:en-de::35,ZengHuiMT,False,high_chrf_bad_mqm,entity substitution/omission,35.0,Accuracy/Addition,Major,46.02607995273012,75.98980295991429,0.8435862064361572,"So like from the beginning for all my birthdays in the past, I always had rough ones. Whenever May would pop up I dreaded trying to celebrate my bday. Something would always happen, go wrong, or just end up stressful and depressing. I fought over the years to get out of that mindset and to have better bdays. It took years of changing my life and working hard but finally... I'm starting to smile and enjoy my bday with no worries. And today is already becoming a great day!","Also wie von Anfang an bei all meinen Geburtstagen in der Vergangenheit hatte ich immer schwierige Geburtstage. Immer wenn der Mai auftauchte, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Irgendetwas würde immer passieren, schief gehen oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und bessere Geburtstage zu haben. Es hat Jahre gedauert, mein Leben zu verändern und hart zu arbeiten, aber schließlich und endlich. Ich fange an zu lächeln und genieße meinen Geburtstag ohne Sorgen. Und heute wird bereits ein großer Tag.","Also, wie bei allen meinen Geburtstagen in der Vergangenheit, war es immer schwierig für mich. Immer, wenn es Mai wurde, fürchtete ich mich vor dem Versuch, meinen Geburtstag zu feiern. Etwas sollte immer passieren, schiefgehen oder einfach nur stressig und deprimierend enden. Ich habe über die Jahre gekämpft, um aus dieser Denkweise herauszukommen und schönere Geburtstage zu feiern. Ich musste jahrelang mein Leben ändern und hart arbeiten, aber schließlich … fange ich an zu lächeln und meinen Geburtstag ohne Sorgen zu genießen. Und heute ist schon jetzt ein toller Tag!"
mastodon_Gwendolyn.110349819552196992:en-de::27,ZengHuiMT,False,high_chrf_bad_mqm,paraphrase handling issues,7.2,Fluency/Grammar,Minor,43.53381631689973,73.6727589820751,0.8053677678108215,"The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.","Je mehr ich über Studien zu Sex, Gender und Psychologie lese, desto mehr erscheint mir die Aussage Mein Geschlecht ist männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau. Es scheint fast so, als würde man einen Teil eines Arguments an TERFs abtreten. Ich habe das Gefühl, dass trans zu sein bedeutet, "" biologisch nicht-binär"" zu sein. Mein Geschlecht ist nicht-binär, mein Geschlecht ist weiblich, mein Geschlecht ist weiblich.","Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich."
mastodon_EU_Commission.110350063913072992:en-de::16,AIRC,False,high_chrf_bad_mqm,entity substitution/omission,7.0,Accuracy/Mistranslation,Major,46.36645919987621,76.13174060881039,0.8557193279266357,"Yet, unimaginable fear, terror and displacement have left them with the invisible scar of trauma.","Doch unvorstellbare Angst, Terror und Vertreibung haben sie mit der unsichtbaren Narbe von Trauma hinterlassen.","Doch unvorstellbare Angst, Terror und Vertreibung haben bei ihnen die unsichtbare Narbe des Traumas hinterlassen."
mastodon_andthisismrspeacock.110348171878131008:en-de::79,ONLINE-G,False,high_chrf_bad_mqm,paraphrase handling issues,5.1,Fluency/Inconsistency,Major,43.90670907470057,73.87688377776557,0.834652841091156,And then we just... paid for our stuff. And said thank you. And I said her nails looked cool. The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Und dann haben wir einfach... für unsere Sachen bezahlt. Und sagte Danke. Und ich sagte, ihre Nägel sahen cool aus. Das Lächeln der Erleichterung auf ihrem Gesicht war ein großartiges Gefühl, aber die Tatsache, dass sie zuerst Angst hatte, ist SCHEIßE UND ICH HASSE ES.","Und dann haben wir einfach … unsere Sachen bezahlt. Und sagten „Danke“. Und ich sagte, dass ihre Fingernägel cool aussähen. Das Lächeln der Erleichterung in ihrem Gesicht war ein schönes Gefühl, aber dass sie zuerst Angst hatte, IST SCHEIßE UND ICH HASSE DAS."
